participant,skill_level,method,mean_mAP50,std_mAP50,mean_f1,n_trials,mean_mAP50_pct,std_mAP50_pct
P1,expert,SAM3_sequential,0.57804,0.19897435261862265,0.6016,5,57.8,19.9
P1,expert,SAM3_simultaneous,0.5999399999999999,0.20137210084815624,0.61274,5,59.99,20.14
P1,expert,YOLO26,0.0996,0.06888559355917606,0.19222,5,9.96,6.89
P2,novice,SAM3_sequential,0.53504,0.2815782715338667,0.52146,5,53.5,28.16
P2,novice,SAM3_simultaneous,0.70962,0.16117850973377312,0.605,5,70.96,16.12
P2,novice,YOLO26,0.8654,0.07932411360992321,0.9125,5,86.54,7.93
P3,novice,SAM3_sequential,0.7066399999999999,0.33565238417148174,0.70602,5,70.66,33.57
P3,novice,SAM3_simultaneous,0.76478,0.2058969572383235,0.76222,5,76.48,20.59
P3,novice,YOLO26,0.66744,0.3010044318610608,0.7725,5,66.74,30.1
P4,novice,SAM3_sequential,0.7464000000000001,0.2016077255464185,0.7264200000000001,5,74.64,20.16
P4,novice,SAM3_simultaneous,0.7715799999999999,0.11626490012037166,0.742,5,77.16,11.63
P4,novice,YOLO26,0.68536,0.07768248193769303,0.7942400000000001,5,68.54,7.77
P5,novice,SAM3_sequential,0.52428,0.21127121668604076,0.5202600000000001,5,52.43,21.13
P5,novice,SAM3_simultaneous,0.54478,0.16767586886609534,0.53298,5,54.48,16.77
P5,novice,YOLO26,0.5637,0.1853914507198215,0.69774,5,56.37,18.54
